instance,method,sequence,makespan,runtime_sec,reference,gap_percent
sample_instance_01,random,"[0, 3, 2, 1]",28,3.9180999920063186e-05,19,47.36842105263158
sample_instance_02,random,"[4, 3, 1, 0, 2]",39,2.5054000161617296e-05,35,11.428571428571429
sample_instance_01,spt,"[0, 1, 3, 2]",26,2.197499998146668e-05,19,36.8421052631579
sample_instance_02,spt,"[0, 2, 1, 3, 4]",43,2.1376000404416118e-05,35,22.857142857142858
sample_instance_01,lpt,"[2, 1, 3, 0]",22,2.4882000161596807e-05,19,15.789473684210526
sample_instance_02,lpt,"[3, 4, 1, 0, 2]",40,2.1285999991960125e-05,35,14.285714285714286
sample_instance_01,neh,"[0, 1, 2, 3]",22,5.518100033441442e-05,19,15.789473684210526
sample_instance_02,neh,"[4, 3, 2, 1, 0]",39,7.46740001886792e-05,35,11.428571428571429
sample_instance_01,neh_plus,"[0, 1, 2, 3]",22,0.00017056400020010187,19,15.789473684210526
sample_instance_02,neh_plus,"[4, 0, 3, 2, 1]",38,0.0005056420000073558,35,8.571428571428571
